Total untranslated: 1770

app.subtitle	ERP
receipt.signature_placeholder	Path to signature image
receipt.stamp_label	Company Stamp
receipt.stamp_placeholder	Path to stamp image
receipt.company_signature_label	Company Signature
receipt.recipient_signature_label	Recipient Signature
receipt.company_stamp_label	Company Stamp
receipt.generated_by	Generated by Operion
receipt.validation.amount_required	Amount is required and must be positive.
receipt.validation.recipient_required	Recipient (Received From) is required.
receipt.validation.number_required	Receipt number is required.
receipt.validation.date_required	Issue date is required.
receipt.customer_label	Customer
receipt.vehicle_label	Vehicle
receipt.trailer_label	Trailer
receipt.branch_label	Branch / Office
receipt.branch_placeholder	e.g. Bucharest HQ
receipt.export_json	Export JSON
receipt.exported_msg	Data exported to: {path}
receipt.validation.vat_invalid	VAT rate must be between 0 and 100.
receipt.validation.date_format	{field} must be in YYYY-MM-DD format.
receipt.section_invoice_autofill	QUICK FILL FROM INVOICE
receipt.invoice_autofill_label	Select Invoice
receipt.invoice_autofill_helper	Select an invoice to auto-fill receipt fields
receipt.number_format_label	Number Format
receipt.attach_type_label	Attachment Type
receipt.attach_type_photo	Receipt Photo
receipt.attach_type_fuel	Fuel Receipt
receipt.attach_type_invoice	Invoice
receipt.attach_type_document	Document
receipt.attach_type_image	Image
receipt.attach_type_other	Other
receipt.received_from_placeholder	Will be completed
receipt.amount_hint	Enter an amount above
admin.tab_title	Admin Panel
admin.login_required	Admin authentication required
admin.login_title	Admin Login
admin.login_button	Login
admin.login_failed	Invalid email or password.
admin.cancel	Cancel
admin.email	Email
admin.password	Password
admin.required_fields	Email and password are required.
admin.email_prompt	Enter your email
admin.email_required	Please enter your email address.
admin.email_invalid	Please enter a valid email address.
admin.password_required	Please enter your password.
admin.next	Next
admin.back	Back
admin.diagnostics	Diagnostics
admin.db_inspector	Database Inspector
admin.doc_stats	Document Statistics
admin.system_info	System Info
admin.health	Health
admin.latency	Latency
admin.latency_ms	{value} ms
admin.celery_status	Celery Status
admin.redis_status	Redis Status
admin.config_flags	Configuration
admin.active_tasks	Active Tasks
admin.scheduled_tasks	Scheduled
admin.queue_size	Queue Size
admin.workers_online	Workers Online
admin.memory_used	Memory Used
admin.keys_count	Keys
admin.hit_rate	Hit Rate
admin.unavailable	Unavailable
admin.table_selector	Select table
admin.execute_query	Execute
admin.refresh	Refresh
admin.clear_cache	Clear Cache
admin.cache_cleared	Cache cleared
admin.rows	{count} rows
admin.no_data	No data
admin.offline	Server unreachable
admin.total_docs	Total Documents
admin.storage_used	Storage Used
admin.ocr_coverage	OCR Coverage
admin.orphan_docs	Orphan Documents
admin.invalid_query	Invalid query
admin.query_error	Query error
admin.forbidden	Access denied
admin.connected_label	Connected:
admin.db_engine_label	DB Engine:
admin.environment_label	Environment:
admin.api_version_label	API Version:
admin.debug_mode_label	Debug Mode:
admin.python_version_label	Python Version
admin.db_path_label	DB Path
admin.platform_label	Platform
admin.password_placeholder	············
login.password_placeholder	············
trip.speed_display	{speed:.0f} km/h
notification.test_message	This is a test notification from the Operations Engine.
features.page_title	Features - Operion ERP
features.page_header	Powerful Features for Modern Logistics
features.page_header_desc	Everything you need to run your fleet efficiently, from route planning to analytics.
features.category_route_planning	Route Planning & Optimization
features.route_planning_title	Intelligent Route Planning
features.route_planning_desc	Advanced algorithms optimize for time, distance, fuel, and toll costs across Europe.
features.multi_stop_title	Multi-Stop Optimization
features.multi_stop_desc	Plan complex multi-stop routes with up to 50 waypoints and automated sequencing.
features.traffic_title	Real-Time Traffic Integration
features.traffic_desc	Routes adjust dynamically based on live traffic conditions and road closures.
features.category_fleet	Fleet Management
features.gps_tracking_title	Real-Time GPS Tracking
features.gps_tracking_desc	Monitor every vehicle's location, speed, and status on an interactive map.
features.maintenance_title	Vehicle Maintenance Tracking
features.maintenance_desc	Schedule and track maintenance with automated alerts for inspections, insurance, and services.
features.geofencing_title	Geofencing & Alerts
features.geofencing_desc	Set geographic boundaries and receive instant notifications when vehicles enter or leave zones.
features.category_dispatch	Dispatch & Operations
features.auto_assign_title	Automated Job Assignment
features.auto_assign_desc	Match jobs to the best available drivers and trucks based on location, skills, and compliance.
features.pod_title	Digital Proof of Delivery
features.pod_desc	Capture signatures, photos, and timestamps at delivery for complete proof of delivery.
features.status_updates_title	Real-Time Status Updates
features.status_updates_desc	Track every job from assignment to completion with live status updates.
features.category_documents	Document Management
features.ocr_ai_title	AI-Powered OCR
features.ocr_ai_desc	Scan and digitize invoices, CMRs, receipts, and contracts with AI-powered OCR.
features.digital_archive_title	Digital Archive
features.digital_archive_desc	Store and search all documents with version history, tags, and full-text search.
features.auto_invoicing_title	Automated Invoicing
features.auto_invoicing_desc	Generate invoices from delivery data automatically and email them to clients.
features.category_analytics	Analytics & Reporting
features.dashboards_title	Custom Dashboards
features.dashboards_desc	Build personalized views with KPIs, charts, and real-time data.
features.kpi_title	KPI Tracking
features.kpi_desc	Monitor key performance indicators including profit per mile, fuel efficiency, and driver performance.
features.export_title	Export & Integration
features.export_desc	Export reports in multiple formats and integrate with your existing ERP and accounting software.
features.category_drivers	Driver Management
features.driver_profiles_title	Driver Profiles
features.driver_profiles_desc	Complete driver database with licenses, medical certificates, contracts, and documents.
features.driver_performance_title	Performance Tracking
features.driver_performance_desc	Monitor driver efficiency, safety scores, tachograph compliance, and driving hours.
features.schedule_title	Schedule Management
features.schedule_desc	Plan driver shifts, manage availability, and track working hours.
about.page_title	About - Operion ERP
about.page_header	About Operion
about.page_header_desc	We're building the future of enterprise logistics software.
about.story_title	Our Story
about.story_p1	Operion was founded in 2024 with a clear mission: make enterprise-grade logistics software accessible to fleets of all sizes.
about.story_p2	Our team combines decades of experience in logistics, software engineering, and AI to build tools that solve real-world problems.
about.story_p3	Today, Operion powers fleets across Europe, helping them plan smarter, dispatch faster, and grow bigger.
about.values_title	Our Values
about.values_desc	The principles that guide every decision we make.
about.value_customer_title	Customer First
about.value_customer_desc	Every feature we build starts with real customer needs and feedback.
about.value_reliability_title	Reliability
about.value_reliability_desc	Your operations depend on our software. We take that responsibility seriously.
about.value_innovation_title	Innovation
about.value_innovation_desc	We invest heavily in R&D to bring cutting-edge AI and optimization to logistics.
about.value_transparency_title	Transparency
about.value_transparency_desc	Clear pricing, honest communication, and no hidden fees.
about.value_security_title	Security
about.value_security_desc	Enterprise-grade encryption, GDPR compliance, and regular security audits.
about.value_partnership_title	Partnership
about.value_partnership_desc	We don't just sell software. We partner with our customers for their success.
about.team_title	Our Team
about.team_desc	Our team combines decades of experience in logistics, software engineering, and AI.
auth.login_title	Sign In — Operion ERP
auth.login_back	Back to home
auth.login_brand	Operion
auth.login_welcome	Welcome back
auth.login_subtitle	Sign in to your Operion account
auth.email_label	Email
auth.password_label	Password
auth.forgot_password	Forgot password?
auth.password_placeholder	Enter your password
auth.hide_password	Hide password
auth.show_password	Show password
auth.signing_in	Signing in…
auth.sign_in	Sign in
auth.no_account	Don't have an account?
auth.sign_up_link	Sign up
auth.signed_in_success	Signed in successfully!
auth.sign_in_failed	Failed to sign in
auth.validation_invalid_email	Please enter a valid email
auth.validation_password_required	Password is required
auth.validation_password_max	Password must be at most 72 characters
auth.register_title	Create Account — Operion ERP
auth.register_back	Back to home
auth.register_brand	Operion
auth.register_welcome	Create your account
auth.register_subtitle	Start your 14-day free trial
auth.name_label	Full Name
auth.name_placeholder	John Doe
auth.company_label	Company Name (optional)
auth.company_placeholder	Acme Inc.
auth.password_min_hint	At least 8 characters
auth.confirm_password_label	Confirm Password
auth.confirm_password_placeholder	Repeat your password
auth.creating_account	Creating account…
auth.create_account	Create account
auth.has_account	Already have an account?
auth.sign_in_link	Sign in
auth.account_created	Account created successfully!
auth.create_account_failed	Failed to create account
auth.validation_name_min	Name must be at least 2 characters
auth.validation_password_min	Password must be at least 8 characters
auth.validation_passwords_match	Passwords don't match
proforma.default_description	Transport services
upload.title	Upload & OCR
upload.no_file	No file selected
upload.browse	Browse...
upload.start	Upload & Run OCR
upload.too_large_title	File too large
upload.too_large_msg	Maximum upload size is 50 MB.
upload.uploading	Uploading...
upload.done	Upload complete. Document #{id}
upload.fetching_ocr	Fetching OCR results...
upload.ocr_done	OCR complete.
upload.error	Error
upload.error_title	Upload Error
upload.extracted_fields	Extracted Fields
upload.select_document	Select Document
